"","revenue","vote_average","genre.1","genre.2","genre.3","Director","actor.1","actor.2","actor.3","Action","Adventure","Animation","Comedy","Crime","Drama","Family","Fantasy","History","Horror","Music","Mystery","Romance","Science.Fiction","Thriller","War","Western"
"79",538400000,8.4,"Adventure","Action","Science Fiction","Irvin Kershner","Mark Hamill","Harrison Ford","Carrie Fisher","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"80",752100229,6.8,"Science Fiction","Adventure","Thriller","Francis Lawrence","Jennifer Lawrence","Josh Hutcherson","Liam Hemsworth","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"81",264118201,8.1,"Comedy","Drama","NULL","Peter Weir","Jim Carrey","Laura Linney","Noah Emmerich","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"82",351723989,7.4,"Thriller","Crime","NULL","Louis Leterrier","Jesse Eisenberg","Mark Ruffalo","Woody Harrelson","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"83",741547413,7.5,"Action","Comedy","Adventure","David Leitch","Ryan Reynolds","Josh Brolin","Morena Baccarin","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84",747862775,7.5,"Action","Adventure","Fantasy","Bryan Singer","Hugh Jackman","James McAvoy","Michael Fassbender","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"85",716392705,7.2,"Science Fiction","Thriller","Drama","Alfonso Cuarón","Sandra Bullock","George Clooney","Ed Harris","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"86",894027543,8,"Drama","Music","NULL","Bryan Singer","Rami Malek","Gwilym Lee","Ben Hardy","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"87",44781695,8.2,"Horror","Thriller","NULL","Stanley Kubrick","Jack Nicholson","Shelley Duvall","Danny Lloyd","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0"
"88",525573161,7.4,"War","Action","Drama","Christopher Nolan","Fionn Whitehead","Tom Glynn-Carney","Aneurin Barnard","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0"
"89",1065659812,7.2,"Adventure","Fantasy","Action","Gore Verbinski","Johnny Depp","Orlando Bloom","Keira Knightley","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"90",668045518,6.5,"Action","Adventure","Fantasy","Zack Snyder","Henry Cavill","Amy Adams","Michael Shannon","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
